Date,Open,High,Low,Close,Adj Close,Volume
2021-09-16,11.372527,11.985078,11.101848,11.314731,11.314731,47067687
2021-09-17,11.315983,11.406003,10.588014,10.667787,10.667787,40624818
2021-09-18,10.680270,11.260341,10.621325,10.867580,10.867580,34966698
2021-09-19,10.860266,11.420485,10.585004,10.928014,10.928014,37750838
2021-09-20,10.923551,10.947254,8.537695,8.708335,8.708335,58868532
2021-09-21,8.761258,9.695916,7.910496,8.002960,8.002960,50869218
2021-09-22,7.981580,9.319769,7.882051,9.157514,9.157514,47143138
2021-09-23,9.157250,9.801125,9.014322,9.756252,9.756252,48899887
2021-09-24,9.756855,9.792663,8.391840,9.275402,9.275402,54977748
2021-09-25,9.276131,9.390322,8.742919,8.914317,8.914317,38007438
2021-09-26,8.914359,11.143560,8.095360,10.656840,10.656840,97605325
2021-09-27,10.657882,12.075605,9.898894,9.920946,9.920946,72178730
2021-09-28,9.902946,10.451573,9.251585,9.280906,9.280906,49000691
2021-09-29,9.280201,10.011712,9.176099,9.459601,9.459601,38196013
2021-09-30,9.456492,9.827441,9.370812,9.731418,9.731418,29460268
2021-10-01,9.714023,10.781477,9.537289,10.681789,10.681789,35715768
2021-10-02,10.680699,11.164395,10.449645,10.797034,10.797034,34084724
2021-10-03,10.781583,11.284454,10.412798,10.821902,10.821902,33767562
2021-10-04,10.831967,10.839218,10.187413,10.310642,10.310642,32036982
2021-10-05,10.333423,10.900050,10.023784,10.342269,10.342269,33123955
2021-10-06,10.343926,10.790504,9.651968,10.652950,10.652950,33159158
2021-10-07,10.647272,12.491700,10.489168,12.115082,12.115082,82867839
2021-10-08,12.094214,13.036524,11.549738,11.638889,11.638889,48918820
2021-10-09,11.641528,11.816808,11.140414,11.261439,11.261439,28312793
2021-10-10,11.270372,11.658129,10.895496,10.938856,10.938856,28963362
2021-10-11,10.939791,11.209814,10.521427,10.626459,10.626459,24765414
2021-10-12,10.637271,10.992723,9.952104,10.933298,10.933298,32147875
2021-10-13,10.934561,12.566980,10.905531,11.654439,11.654439,64336110
2021-10-14,11.653867,12.289439,11.500870,12.141781,12.141781,39009670
2021-10-15,12.141680,12.141680,11.370091,11.470165,11.470165,34100246
2021-10-16,11.457150,12.070259,11.316909,11.862573,11.862573,31846025
2021-10-17,11.850909,12.221003,11.512097,11.984145,11.984145,34989335
2021-10-18,11.997371,12.706397,11.651668,12.704940,12.704940,51524199
2021-10-19,12.705597,14.082948,12.423290,13.418448,13.418448,75435740
2021-10-20,13.418665,14.389990,13.400528,13.603431,13.603431,51801138
2021-10-21,13.604559,13.622716,12.601765,12.707499,12.707499,43064810
2021-10-22,12.720755,13.347335,12.439527,12.649803,12.649803,31847772
2021-10-23,12.649961,13.157764,12.599081,12.668419,12.668419,21553851
2021-10-24,12.668022,12.710383,11.984316,12.012925,12.012925,26981961
2021-10-25,12.013087,12.190465,11.845303,12.115749,12.115749,33949509
2021-10-26,12.111025,12.590030,11.993447,12.177274,12.177274,31309232
2021-10-27,12.160011,13.086812,10.542805,10.542805,10.542805,52040644
2021-10-28,10.554507,11.126038,10.461728,11.085445,11.085445,33283082
2021-10-29,11.101662,11.720628,10.868771,11.344286,11.344286,28297978
2021-10-30,11.343521,11.378613,10.612863,10.913248,10.913248,26521850
2021-10-31,10.923477,11.079864,10.662442,10.851985,10.851985,22806531
2021-11-01,10.854243,11.201841,10.513432,10.614920,10.614920,26996975
2021-11-02,10.610189,11.455589,10.502202,10.916141,10.916141,32181716
2021-11-03,10.917354,11.378220,10.766134,11.199561,11.199561,40695024
2021-11-04,11.199367,11.634482,10.819565,11.374880,11.374880,37810527
2021-11-05,11.397859,11.896128,11.184354,11.568782,11.568782,33294433
2021-11-06,11.568901,12.303964,11.192976,12.169665,12.169665,33968441
2021-11-07,12.182936,14.457405,12.096928,13.243485,13.243485,120708610
2021-11-08,13.244834,13.365542,12.399286,13.336538,13.336538,52964315
2021-11-09,13.337130,13.909180,12.669511,12.897777,12.897777,44783997
